plate,county_code,intersection,interval_label,time_range,accidente_intersectie,accidente_vehicul,scor_judet,label_risk
B123ABC,B,Arcul de Triumf,Dimineata,06:30-09:30,15,5,2.5,0.49542920847268673
B123ABC,B,Arcul de Triumf,Pranz,12:00-14:00,2,5,2.5,0.2128205128205128
B123ABC,B,Arcul de Triumf,Seara,15:30-19:00,22,5,2.5,0.6476031215161651
B123ABC,B,Piata Romana,Dimineata,06:30-09:30,11,5,2.5,0.4084726867335563
B123ABC,B,Piata Romana,Pranz,12:00-14:00,3,5,2.5,0.23455964325529544
B123ABC,B,Piata Romana,Seara,15:30-19:00,20,5,2.5,0.6041248606465999
B123ABC,B,Piata Unirii,Dimineata,06:30-09:30,15,5,2.5,0.49542920847268673
B123ABC,B,Piata Unirii,Pranz,12:00-14:00,3,5,2.5,0.23455964325529544
B123ABC,B,Piata Unirii,Seara,15:30-19:00,18,5,2.5,0.5606465997770345
B123ABC,B,Piata Universitatii,Dimineata,06:30-09:30,5,5,2.5,0.2780379041248606
B123ABC,B,Piata Universitatii,Pranz,12:00-14:00,3,5,2.5,0.23455964325529544
B123ABC,B,Piata Universitatii,Seara,15:30-19:00,25,5,2.5,0.7128205128205127
B555WHR,B,Arcul de Triumf,Dimineata,06:30-09:30,15,0,2.5,0.32876254180602005
B555WHR,B,Arcul de Triumf,Pranz,12:00-14:00,2,0,2.5,0.046153846153846156
B555WHR,B,Arcul de Triumf,Seara,15:30-19:00,22,0,2.5,0.4809364548494983
B555WHR,B,Piata Romana,Dimineata,06:30-09:30,11,0,2.5,0.24180602006688964
B555WHR,B,Piata Romana,Pranz,12:00-14:00,3,0,2.5,0.06789297658862876
B555WHR,B,Piata Romana,Seara,15:30-19:00,20,0,2.5,0.43745819397993313
B555WHR,B,Piata Unirii,Dimineata,06:30-09:30,15,0,2.5,0.32876254180602005
B555WHR,B,Piata Unirii,Pranz,12:00-14:00,3,0,2.5,0.06789297658862876
B555WHR,B,Piata Unirii,Seara,15:30-19:00,18,0,2.5,0.3939799331103679
B555WHR,B,Piata Universitatii,Dimineata,06:30-09:30,5,0,2.5,0.11137123745819398
B555WHR,B,Piata Universitatii,Pranz,12:00-14:00,3,0,2.5,0.06789297658862876
B555WHR,B,Piata Universitatii,Seara,15:30-19:00,25,0,2.5,0.5461538461538462
SM12ULC,SM,Arcul de Triumf,Dimineata,06:30-09:30,15,3,3.25,0.45183946488294313
SM12ULC,SM,Arcul de Triumf,Pranz,12:00-14:00,2,3,3.25,0.16923076923076924
SM12ULC,SM,Arcul de Triumf,Seara,15:30-19:00,22,3,3.25,0.6040133779264214
SM12ULC,SM,Piata Romana,Dimineata,06:30-09:30,11,3,3.25,0.36488294314381275
SM12ULC,SM,Piata Romana,Pranz,12:00-14:00,3,3,3.25,0.19096989966555183
SM12ULC,SM,Piata Romana,Seara,15:30-19:00,20,3,3.25,0.5605351170568562
SM12ULC,SM,Piata Unirii,Dimineata,06:30-09:30,15,3,3.25,0.45183946488294313
SM12ULC,SM,Piata Unirii,Pranz,12:00-14:00,3,3,3.25,0.19096989966555183
SM12ULC,SM,Piata Unirii,Seara,15:30-19:00,18,3,3.25,0.5170568561872909
SM12ULC,SM,Piata Universitatii,Dimineata,06:30-09:30,5,3,3.25,0.23444816053511705
SM12ULC,SM,Piata Universitatii,Pranz,12:00-14:00,3,3,3.25,0.19096989966555183
SM12ULC,SM,Piata Universitatii,Seara,15:30-19:00,25,3,3.25,0.6692307692307692
SM11LUC,SM,Arcul de Triumf,Dimineata,06:30-09:30,15,2,3.25,0.4185061315496098
SM11LUC,SM,Arcul de Triumf,Pranz,12:00-14:00,2,2,3.25,0.13589743589743591
SM11LUC,SM,Arcul de Triumf,Seara,15:30-19:00,22,2,3.25,0.5706800445930881
SM11LUC,SM,Piata Romana,Dimineata,06:30-09:30,11,2,3.25,0.33154960981047943
SM11LUC,SM,Piata Romana,Pranz,12:00-14:00,3,2,3.25,0.1576365663322185
SM11LUC,SM,Piata Romana,Seara,15:30-19:00,20,2,3.25,0.5272017837235229
SM11LUC,SM,Piata Unirii,Dimineata,06:30-09:30,15,2,3.25,0.4185061315496098
SM11LUC,SM,Piata Unirii,Pranz,12:00-14:00,3,2,3.25,0.1576365663322185
SM11LUC,SM,Piata Unirii,Seara,15:30-19:00,18,2,3.25,0.4837235228539576
SM11LUC,SM,Piata Universitatii,Dimineata,06:30-09:30,5,2,3.25,0.20111482720178372
SM11LUC,SM,Piata Universitatii,Pranz,12:00-14:00,3,2,3.25,0.1576365663322185
SM11LUC,SM,Piata Universitatii,Seara,15:30-19:00,25,2,3.25,0.6358974358974359
AB254ULA,AB,Arcul de Triumf,Dimineata,06:30-09:30,15,1,1.5,0.3313266443701226
AB254ULA,AB,Arcul de Triumf,Pranz,12:00-14:00,2,1,1.5,0.04871794871794872
AB254ULA,AB,Arcul de Triumf,Seara,15:30-19:00,22,1,1.5,0.4835005574136009
AB254ULA,AB,Piata Romana,Dimineata,06:30-09:30,11,1,1.5,0.2443701226309922
AB254ULA,AB,Piata Romana,Pranz,12:00-14:00,3,1,1.5,0.07045707915273133
AB254ULA,AB,Piata Romana,Seara,15:30-19:00,20,1,1.5,0.4400222965440357
AB254ULA,AB,Piata Unirii,Dimineata,06:30-09:30,15,1,1.5,0.3313266443701226
AB254ULA,AB,Piata Unirii,Pranz,12:00-14:00,3,1,1.5,0.07045707915273133
AB254ULA,AB,Piata Unirii,Seara,15:30-19:00,18,1,1.5,0.39654403567447044
AB254ULA,AB,Piata Universitatii,Dimineata,06:30-09:30,5,1,1.5,0.11393534002229655
AB254ULA,AB,Piata Universitatii,Pranz,12:00-14:00,3,1,1.5,0.07045707915273133
AB254ULA,AB,Piata Universitatii,Seara,15:30-19:00,25,1,1.5,0.5487179487179488
AB666JEB,AB,Arcul de Triumf,Dimineata,06:30-09:30,15,2,1.5,0.36465997770345593
AB666JEB,AB,Arcul de Triumf,Pranz,12:00-14:00,2,2,1.5,0.08205128205128205
AB666JEB,AB,Arcul de Triumf,Seara,15:30-19:00,22,2,1.5,0.5168338907469343
AB666JEB,AB,Piata Romana,Dimineata,06:30-09:30,11,2,1.5,0.27770345596432555
AB666JEB,AB,Piata Romana,Pranz,12:00-14:00,3,2,1.5,0.10379041248606466
AB666JEB,AB,Piata Romana,Seara,15:30-19:00,20,2,1.5,0.473355629877369
AB666JEB,AB,Piata Unirii,Dimineata,06:30-09:30,15,2,1.5,0.36465997770345593
AB666JEB,AB,Piata Unirii,Pranz,12:00-14:00,3,2,1.5,0.10379041248606466
AB666JEB,AB,Piata Unirii,Seara,15:30-19:00,18,2,1.5,0.42987736900780377
AB666JEB,AB,Piata Universitatii,Dimineata,06:30-09:30,5,2,1.5,0.14726867335562988
AB666JEB,AB,Piata Universitatii,Pranz,12:00-14:00,3,2,1.5,0.10379041248606466
AB666JEB,AB,Piata Universitatii,Seara,15:30-19:00,25,2,1.5,0.582051282051282
AR89ATN,AR,Arcul de Triumf,Dimineata,06:30-09:30,15,2,1.0,0.34927536231884054
AR89ATN,AR,Arcul de Triumf,Pranz,12:00-14:00,2,2,1.0,0.06666666666666667
AR89ATN,AR,Arcul de Triumf,Seara,15:30-19:00,22,2,1.0,0.5014492753623189
AR89ATN,AR,Piata Romana,Dimineata,06:30-09:30,11,2,1.0,0.26231884057971017
AR89ATN,AR,Piata Romana,Pranz,12:00-14:00,3,2,1.0,0.08840579710144927
AR89ATN,AR,Piata Romana,Seara,15:30-19:00,20,2,1.0,0.4579710144927536
AR89ATN,AR,Piata Unirii,Dimineata,06:30-09:30,15,2,1.0,0.34927536231884054
AR89ATN,AR,Piata Unirii,Pranz,12:00-14:00,3,2,1.0,0.08840579710144927
AR89ATN,AR,Piata Unirii,Seara,15:30-19:00,18,2,1.0,0.4144927536231884
AR89ATN,AR,Piata Universitatii,Dimineata,06:30-09:30,5,2,1.0,0.1318840579710145
AR89ATN,AR,Piata Universitatii,Pranz,12:00-14:00,3,2,1.0,0.08840579710144927
AR89ATN,AR,Piata Universitatii,Seara,15:30-19:00,25,2,1.0,0.5666666666666667
AR06XAA,AR,Arcul de Triumf,Dimineata,06:30-09:30,15,0,1.0,0.2826086956521739
AR06XAA,AR,Arcul de Triumf,Pranz,12:00-14:00,2,0,1.0,0.0
AR06XAA,AR,Arcul de Triumf,Seara,15:30-19:00,22,0,1.0,0.43478260869565216
AR06XAA,AR,Piata Romana,Dimineata,06:30-09:30,11,0,1.0,0.1956521739130435
AR06XAA,AR,Piata Romana,Pranz,12:00-14:00,3,0,1.0,0.021739130434782608
AR06XAA,AR,Piata Romana,Seara,15:30-19:00,20,0,1.0,0.391304347826087
AR06XAA,AR,Piata Unirii,Dimineata,06:30-09:30,15,0,1.0,0.2826086956521739
AR06XAA,AR,Piata Unirii,Pranz,12:00-14:00,3,0,1.0,0.021739130434782608
AR06XAA,AR,Piata Unirii,Seara,15:30-19:00,18,0,1.0,0.34782608695652173
AR06XAA,AR,Piata Universitatii,Dimineata,06:30-09:30,5,0,1.0,0.06521739130434782
AR06XAA,AR,Piata Universitatii,Pranz,12:00-14:00,3,0,1.0,0.021739130434782608
AR06XAA,AR,Piata Universitatii,Seara,15:30-19:00,25,0,1.0,0.5
AG444POV,AG,Arcul de Triumf,Dimineata,06:30-09:30,15,9,7.5,0.7826086956521738
AG444POV,AG,Arcul de Triumf,Pranz,12:00-14:00,2,9,7.5,0.5
AG444POV,AG,Arcul de Triumf,Seara,15:30-19:00,22,9,7.5,0.9347826086956521
AG444POV,AG,Piata Romana,Dimineata,06:30-09:30,11,9,7.5,0.6956521739130435
AG444POV,AG,Piata Romana,Pranz,12:00-14:00,3,9,7.5,0.5217391304347826
AG444POV,AG,Piata Romana,Seara,15:30-19:00,20,9,7.5,0.8913043478260869
AG444POV,AG,Piata Unirii,Dimineata,06:30-09:30,15,9,7.5,0.7826086956521738
AG444POV,AG,Piata Unirii,Pranz,12:00-14:00,3,9,7.5,0.5217391304347826
AG444POV,AG,Piata Unirii,Seara,15:30-19:00,18,9,7.5,0.8478260869565217
AG444POV,AG,Piata Universitatii,Dimineata,06:30-09:30,5,9,7.5,0.5652173913043479
AG444POV,AG,Piata Universitatii,Pranz,12:00-14:00,3,9,7.5,0.5217391304347826
AG444POV,AG,Piata Universitatii,Seara,15:30-19:00,25,9,7.5,1.0
